Ensembl Gene ID	Associated Gene Name	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]
ENSMUSG00000024853	Sf3b2	NM_030109	
ENSMUSG00000039478	Micu3	NM_030110	
ENSMUSG00000027304	Rtf1	NM_030112	
ENSMUSG00000037148	Arhgap10	NM_030113	
ENSMUSG00000028140	Mrpl9	NM_030116	
ENSMUSG00000048175	Asb8	NM_030121	
ENSMUSG00000062169	Cnih4	NM_030131	
ENSMUSG00000024135	Srbd1	NM_030133	
ENSMUSG00000049076	Acap2	NM_030138	
ENSMUSG00000073176	Zfp449	NM_030139	
ENSMUSG00000031683	Lsm6	NM_030145	
ENSMUSG00000003778	Brd8	NM_030147	
ENSMUSG00000021555	Naa35	NM_030153	
ENSMUSG00000042042	Csgalnact2	NM_030165	
ENSMUSG00000050310	Rictor	NM_030168	
ENSMUSG00000001632	Brpf1	NM_030178	
ENSMUSG00000024059	Clip4	NM_030179	
ENSMUSG00000034235	Usp54	NM_030180	
ENSMUSG00000029179	Zcchc4	NM_030185	
ENSMUSG00000075271	Ttc30a1	NM_030188	
ENSMUSG00000033417	Cacul1	NM_030197	
ENSMUSG00000031669	Gins3	NM_030198	
ENSMUSG00000050846	Zfp623	NM_030199	
ENSMUSG00000032932	Hspa13	NM_030201	
ENSMUSG00000039485	Tspyl4	NM_030203	
ENSMUSG00000039637	Coro7	NM_030205	
ENSMUSG00000023764	Sfi1	NM_030207	
ENSMUSG00000021400	Wrnip1	NM_030215	
ENSMUSG00000004789	Dlst	NM_030225	
ENSMUSG00000022476	Polr3h	NM_030229	
ENSMUSG00000006763	Saal1	NM_030233	
ENSMUSG00000027242	Wdr76	NM_030234	
ENSMUSG00000029787	Avl9	NM_030235	
ENSMUSG00000018707	Dync1h1	NM_030238	
ENSMUSG00000030680	Pagr1a	NM_030240	
ENSMUSG00000049327	Setd8	NM_030241	
ENSMUSG00000026563	Tada1	NM_030245	
ENSMUSG00000018669	Cdk5rap3	NM_030248	
ENSMUSG00000023068	Nus1	NM_030250	
ENSMUSG00000030083	Abtb1	NM_030251	
ENSMUSG00000042380	Smim12	NM_030252	
ENSMUSG00000022906	Parp9	NM_030253	
ENSMUSG00000039530	Tusc3	NM_030254	
ENSMUSG00000063382	Bcl9l	NM_030256	
ENSMUSG00000035840	Lysmd3	NM_030257	
ENSMUSG00000044197	Gpr146	NM_030258	
ENSMUSG00000029401	Rilpl2	NM_030259	
ENSMUSG00000032009	Sesn3	NM_030261	
ENSMUSG00000020260	Pofut2	NM_030262	
ENSMUSG00000030465	Psd3	NM_030263	
ENSMUSG00000026113	Inpp4a	NM_030266	
ENSMUSG00000037730	Mynn	NM_030557	
ENSMUSG00000027411	Vps16	NM_030559	
ENSMUSG00000027014	Cwc22	NM_030560	
ENSMUSG00000052712	BC004004	NM_030561	
ENSMUSG00000031652	N4bp1	NM_030563	
ENSMUSG00000029474	Rnf34	NM_030564	
ENSMUSG00000025854	Fam20c	NM_030565	
ENSMUSG00000030727	Rabep2	NM_030566	
ENSMUSG00000027799	Nbea	NM_030595	
ENSMUSG00000039601	Rcan2	NM_030598	
ENSMUSG00000028262	Clca2	NM_030601	
ENSMUSG00000003865	Gys1	NM_030678	
ENSMUSG00000056328	Myh1	NM_030679	
ENSMUSG00000027808	Serp1	NM_030685	
ENSMUSG00000025240	Sacm1l	NM_030692	
ENSMUSG00000060591	Ifitm2	NM_030694	
ENSMUSG00000028080	Lrba	NM_030695	
ENSMUSG00000042099	Kank3	NM_030697	
ENSMUSG00000025268	Maged2	NM_030700	
ENSMUSG00000005204	Senp3	NM_030702	
ENSMUSG00000041548	Hspb8	NM_030704	
ENSMUSG00000070462	Mesdc1	NM_030705	
ENSMUSG00000027993	Trim2	NM_030706	
ENSMUSG00000021583	Erap1	NM_030711	
ENSMUSG00000040415	Dtx3	NM_030714	
ENSMUSG00000023953	Polh	NM_030715	
ENSMUSG00000032370	Lactb	NM_030717	
ENSMUSG00000015944	Gatsl2	NM_030719	
ENSMUSG00000029098	Acox3	NM_030721	
ENSMUSG00000020594	Pum2	NM_030723	
ENSMUSG00000026558	Uck2	NM_030724	
ENSMUSG00000040661	Rad54l2	NM_030730	
ENSMUSG00000021712	Trim23	NM_030731	
ENSMUSG00000027630	Tbl1xr1	NM_030732	
ENSMUSG00000006418	Rnf114	NM_030743	
ENSMUSG00000024357	Sil1	NM_030749	
ENSMUSG00000021054	Sgpp1	NM_030750	
ENSMUSG00000027257	Pacsin3	NM_030880	
ENSMUSG00000055204	Ankrd17	NM_030886	
ENSMUSG00000034271	Jdp2	NM_030887	
ENSMUSG00000029093	Sorcs2	NM_030889	
ENSMUSG00000056999	Ide	NM_031156	
ENSMUSG00000005763	Cd247	NM_031162	
ENSMUSG00000022483	Col2a1	NM_031163	
ENSMUSG00000015656	Hspa8	NM_031165	
ENSMUSG00000025982	Sf3b1	NM_031179	
ENSMUSG00000005718	Tfap4	NM_031182	
ENSMUSG00000014303	Glis2	NM_031184	
ENSMUSG00000038587	Akap12	NM_031185	
ENSMUSG00000001436	Slc19a1	NM_031196	
ENSMUSG00000022570	Tsta3	NM_031201	
ENSMUSG00000028062	Lamtor2	NM_031248	
ENSMUSG00000053536	Cstf2t	NM_031249	
ENSMUSG00000005949	Ctns	NM_031251	
ENSMUSG00000002733	Plekha3	NM_031256	
ENSMUSG00000031557	Plekha2	NM_031257	
ENSMUSG00000015365	Mov10l1	NM_031260	
ENSMUSG00000049401	Ogfr	NM_031373	
ENSMUSG00000047084	Ngrn	NM_031375	
ENSMUSG00000020325	Fstl3	NM_031380	
ENSMUSG00000020962	Gtf2a1	NM_031391	
ENSMUSG00000066357	Wdr6	NM_031392	
ENSMUSG00000014329	Bicc1	NM_031397	
ENSMUSG00000032469	Dbr1	NM_031403	
ENSMUSG00000037364	Srrt	NM_031405	
ENSMUSG00000029714	Gigyf1	NM_031408	
ENSMUSG00000023018	Smarcd1	NM_031842	
ENSMUSG00000026958	Dpp7	NM_031843	
ENSMUSG00000023919	Cenpq	NM_031863	
ENSMUSG00000040385	Ppp1ca	NM_031868	
ENSMUSG00000096994	Ppp1ca	NM_031868	
ENSMUSG00000029513	Prkab1	NM_031869	
ENSMUSG00000019066	Rab3d	NM_031874	
ENSMUSG00000019831	Wasf1	NM_031877	
ENSMUSG00000078619	Smarcd2	NM_031878	
ENSMUSG00000024754	Tmem2	NM_031997	
ENSMUSG00000029790	Cep41	NM_031998	
ENSMUSG00000021306	Gpr137b	NM_031999	
ENSMUSG00000038679	Trps1	NM_032000	
ENSMUSG00000021870	Slmap	NM_032008	
ENSMUSG00000027254	Map1a	NM_032393	
ENSMUSG00000020393	Kremen1	NM_032396	
ENSMUSG00000034845	Plvap	NM_032398	
ENSMUSG00000030409	Dmpk	NM_032418	
ENSMUSG00000041528	Rnf123	NM_032543	
ENSMUSG00000007610	Gtpbp3	NM_032544	
ENSMUSG00000033022	Cdo1	NM_033037	
ENSMUSG00000025409	Mbd6	NM_033072	
ENSMUSG00000023039	Krt7	NM_033073	
ENSMUSG00000022241	Tars	NM_033074	
ENSMUSG00000039224	D1Pas1	NM_033077	
ENSMUSG00000034875	Nudt19	NM_033080	
ENSMUSG00000026925	Inpp5e	NM_033134	
ENSMUSG00000018398	Sept8	NM_033144	
ENSMUSG00000022217	Emc9	NM_033146	
ENSMUSG00000102627	Snurf	NM_033174	
ENSMUSG00000022463	Srebf2	NM_033218	
ENSMUSG00000052374	Actn2	NM_033268	
ENSMUSG00000057469	E2f6	NM_033270	
ENSMUSG00000032548	Slco2a1	NM_033314	
ENSMUSG00000032252	Glce	NM_033320	
ENSMUSG00000025245	Lztfl1	NM_033322	
ENSMUSG00000022718	Dgcr8	NM_033324	
ENSMUSG00000098643	Dgcr8	NM_033324	
ENSMUSG00000034205	Loxl2	NM_033325	
ENSMUSG00000045333	Zfp423	NM_033327	
ENSMUSG00000030754	Copb1	NM_033370	
ENSMUSG00000033819	Ppp1r16a	NM_033371	
ENSMUSG00000056962	Jmjd6	NM_033398	
ENSMUSG00000007041	Clic1	NM_033444	
ENSMUSG00000000325	Arvcf	NM_033474	
ENSMUSG00000098615	Arvcf	NM_033474	
ENSMUSG00000002059	Rab34	NM_033475	
ENSMUSG00000009733	Tfcp2	NM_033476	
ENSMUSG00000043311	D17H6S53E	NM_033477	
ENSMUSG00000026556	Vangl2	NM_033509	
ENSMUSG00000022257	Laptm4b	NM_033521	
ENSMUSG00000045671	Spred2	NM_033523	
ENSMUSG00000027351	Spred1	NM_033524	
ENSMUSG00000008604	Ubqln4	NM_033526	
ENSMUSG00000031600	Vps37a	NM_033560	
ENSMUSG00000040731	Eif4h	NM_033561	
ENSMUSG00000018442	Derl2	NM_033562	
ENSMUSG00000025959	Klf7	NM_033563	
ENSMUSG00000049470	Aff4	NM_033565	
ENSMUSG00000006058	Snf8	NM_033568	
ENSMUSG00000061979	Wbscr16	NM_033572	
ENSMUSG00000004895	Prcc	NM_033573	
ENSMUSG00000103037	Pcdhgb1	NM_033574	
ENSMUSG00000102748	Pcdhgb2	NM_033575	
ENSMUSG00000103585	Pcdhgb4	NM_033576	
ENSMUSG00000103749	Pcdhgb5	NM_033577	
ENSMUSG00000103088	Pcdhgb6	NM_033578	
ENSMUSG00000104063	Pcdhgb7	NM_033579	
ENSMUSG00000103081	Pcdhgb8	NM_033580	
ENSMUSG00000102918	PCDHGB6	NM_033581	
ENSMUSG00000103332	Pcdhga2	NM_033585	
ENSMUSG00000104346	PCDHGB6	NM_033586	
ENSMUSG00000103677	Pcdhga4	NM_033587	
ENSMUSG00000103567	Pcdhga5	NM_033588	
ENSMUSG00000103793	Pcdhga6	NM_033589	
ENSMUSG00000103472	Pcdhga7	NM_033590	
ENSMUSG00000103897	PCDHGB6	NM_033591	
ENSMUSG00000102440	PCDHGA9	NM_033592	
ENSMUSG00000102222	Pcdhga10	NM_033593	
ENSMUSG00000102742	PCDHGB6	NM_033594	
ENSMUSG00000102428	PCDHGA12	NM_033595	
ENSMUSG00000091405	Hist2h4	NM_033596	
ENSMUSG00000032217	Rnf111	NM_033604	
ENSMUSG00000035337	Uchl4	NM_033607	
ENSMUSG00000012114	Med15	NM_033609	
ENSMUSG00000033379	Atp6v0b	NM_033617	
ENSMUSG00000035726	Supt16	NM_033618	
ENSMUSG00000025812	Pard3	NM_033620	
ENSMUSG00000027708	Dcun1d1	NM_033623	
ENSMUSG00000008682	Rpl10	NM_052835	
ENSMUSG00000020954	Strn3	NM_052973	
ENSMUSG00000031214	Ophn1	NM_052976	
ENSMUSG00000036570	Fxyd1	NM_052991	
ENSMUSG00000036570	Fxyd1	NM_052992	
ENSMUSG00000042460	C1galt1	NM_052993	
ENSMUSG00000024695	Zfp91	NM_053009	
ENSMUSG00000001211	Agpat3	NM_053014	
ENSMUSG00000068391	Chrac1	NM_053068	
ENSMUSG00000038160	Atg5	NM_053069	
ENSMUSG00000014313	Cox6c	NM_053071	
ENSMUSG00000020021	Fgd6	NM_053072	
ENSMUSG00000043858	Nup62	NM_053074	
ENSMUSG00000028945	Rheb	NM_053075	
ENSMUSG00000024758	Rtn3	NM_053076	
ENSMUSG00000042834	Nrep	NM_053078	
ENSMUSG00000025511	Tspan4	NM_053082	
ENSMUSG00000063273	Naa15	NM_053089	
ENSMUSG00000028995	Fam126a	NM_053090	
ENSMUSG00000009876	Cox4i2	NM_053091	
ENSMUSG00000031948	Kars	NM_053092	
ENSMUSG00000029683	Lmod2	NM_053098	
ENSMUSG00000103866	Setbp1	NM_053099	
ENSMUSG00000025034	Trim8	NM_053100	
ENSMUSG00000037072	Sep15	NM_053102	
ENSMUSG00000025192	Entpd7	NM_053103	
ENSMUSG00000021591	Glrx	NM_053108	
ENSMUSG00000056214	Pard6g	NM_053117	
ENSMUSG00000025465	Echs1	NM_053119	
ENSMUSG00000031099	Smarca1	NM_053123	
ENSMUSG00000031715	Smarca5	NM_053124	
ENSMUSG00000028563	Tm2d1	NM_053157	
ENSMUSG00000029486	Mrpl1	NM_053158	
ENSMUSG00000032563	Mrpl3	NM_053159	
ENSMUSG00000024414	Mrpl27	NM_053161	
ENSMUSG00000034880	Mrpl34	NM_053162	
ENSMUSG00000021607	Mrpl36	NM_053163	
ENSMUSG00000025208	Mrpl43	NM_053164	
ENSMUSG00000020455	Trim11	NM_053168	
ENSMUSG00000024301	Kifc5b	NM_053173	
ENSMUSG00000004567	Mcoln1	NM_053177	
ENSMUSG00000028334	Nans	NM_053179	
ENSMUSG00000022680	Pdxdc1	NM_053181	
ENSMUSG00000020076	Ddx50	NM_053183	
ENSMUSG00000031273	Col4a6	NM_053185	
ENSMUSG00000019861	Gopc	NM_053187	
ENSMUSG00000025485	Ric8	NM_053194	
ENSMUSG00000025036	Sfxn2	NM_053196	
ENSMUSG00000025212	Sfxn3	NM_053197	
ENSMUSG00000031227	Magee1	NM_053201	
ENSMUSG00000030067	Foxp1	NM_053202	
ENSMUSG00000030172	Erc1	NM_053204	
ENSMUSG00000031987	Egln1	NM_053207	
ENSMUSG00000058709	Egln2	NM_053208	
ENSMUSG00000040631	Dok4	NM_053246	
ENSMUSG00000030787	Lyve1	NM_053247	
ENSMUSG00000034758	Tle6	NM_053254	
ENSMUSG00000073702	Rpl31	NM_053257	
ENSMUSG00000024525	Impa2	NM_053261	
ENSMUSG00000029311	Hsd17b11	NM_053262	
ENSMUSG00000059005	Hnrnpa3	NM_053263	
ENSMUSG00000015942	Gtf2ird2	NM_053266	
ENSMUSG00000075702	Selm	NM_053267	
ENSMUSG00000032413	Rasa2	NM_053268	
ENSMUSG00000007646	Rad51c	NM_053269	
ENSMUSG00000034926	Dhcr24	NM_053272	
ENSMUSG00000034377	Tulp4	NM_054040	
ENSMUSG00000033420	Antxr1	NM_054041	
ENSMUSG00000056481	Cd248	NM_054042	
ENSMUSG00000069769	Msi2	NM_054043	
ENSMUSG00000031486	Gpr124	NM_054044	
ENSMUSG00000001482	Def8	NM_054046	
ENSMUSG00000024968	Rcor2	NM_054048	
ENSMUSG00000039844	Rapgef1	NM_054050	
ENSMUSG00000018547	Pip4k2b	NM_054051	
ENSMUSG00000022686	B3gnt5	NM_054052	
ENSMUSG00000035873	Pawr	NM_054056	
ENSMUSG00000031485	Prosc	NM_054057	
ENSMUSG00000031967	Afg3l1	NM_054070	
ENSMUSG00000008090	Fgfrl1	NM_054071	
ENSMUSG00000040054	Baz2a	NM_054078	
ENSMUSG00000021144	Mta1	NM_054081	
ENSMUSG00000038763	Alpk3	NM_054085	
ENSMUSG00000040918	Slc19a2	NM_054087	
ENSMUSG00000028233	Tgs1	NM_054089	
ENSMUSG00000029577	Ube3b	NM_054093	
ENSMUSG00000025417	Pip4k2c	NM_054097	
ENSMUSG00000063236	1110038F14Rik	NM_054099	
ENSMUSG00000023150	Ivns1abp	NM_054102	
ENSMUSG00000024392	Bag6	NM_057171	
ENSMUSG00000028034	Fubp1	NM_057172	
ENSMUSG00000021221	Dpf3	NM_058212	
ENSMUSG00000035397	Klf16	NM_078477	
ENSMUSG00000041028	Ghitm	NM_078478	
ENSMUSG00000054312	Mrps21	NM_078479	
ENSMUSG00000041112	Elmo1	NM_080288	
ENSMUSG00000035637	Grhpr	NM_080289	
ENSMUSG00000038034	Igsf8	NM_080419	
ENSMUSG00000028086	Fbxw7	NM_080428	
ENSMUSG00000022220	Adcy4	NM_080435	
ENSMUSG00000020228	Helb	NM_080446	
ENSMUSG00000050315	Synpo2	NM_080451	
ENSMUSG00000035772	Mrps2	NM_080452	
ENSMUSG00000047907	Tshz2	NM_080455	
ENSMUSG00000039680	Mrps6	NM_080456	
ENSMUSG00000047264	Zfp358	NM_080461	
ENSMUSG00000046020	Pofut1	NM_080463	
ENSMUSG00000042717	Ppp1r3a	NM_080464	
ENSMUSG00000054477	Kcnn2	NM_080465	
ENSMUSG00000033423	Eri3	NM_080469	
ENSMUSG00000042644	Itpr3	NM_080553	
ENSMUSG00000026869	Psmd5	NM_080554	
ENSMUSG00000028517	Ppap2b	NM_080555	
ENSMUSG00000025544	Tm9sf2	NM_080556	
ENSMUSG00000022808	Snx4	NM_080557	
ENSMUSG00000027007	Ssfa2	NM_080558	
ENSMUSG00000028843	Sh3bgrl3	NM_080559	
ENSMUSG00000074781	Ube2n	NM_080560	
ENSMUSG00000045078	Rnf216	NM_080561	
ENSMUSG00000027300	Ubox5	NM_080562	
ENSMUSG00000027452	Acss1	NM_080575	
ENSMUSG00000022477	Aco2	NM_080633	
ENSMUSG00000022312	Eif3h	NM_080635	
ENSMUSG00000019143	Hars2	NM_080636	
ENSMUSG00000030681	Mvp	NM_080638	
ENSMUSG00000034471	Caskin2	NM_080643	
ENSMUSG00000034663	Bmp2k	NM_080708	
ENSMUSG00000053093	Myh7	NM_080728	
ENSMUSG00000037111	Setd7	NM_080793	
ENSMUSG00000016520	Lnx2	NM_080795	
ENSMUSG00000019579	D17Wsu104e	NM_080837	
ENSMUSG00000048379	Socs4	NM_080843	
ENSMUSG00000026917	Wdr5	NM_080848	
ENSMUSG00000017405	Nek8	NM_080849	
ENSMUSG00000026274	Pask	NM_080850	
ENSMUSG00000061410	Zcchc14	NM_080855	
ENSMUSG00000031913	Vps4a	NM_126165	
ENSMUSG00000030203	Dusp16	NM_130447	
ENSMUSG00000037892	Pcdh18	NM_130448	
ENSMUSG00000036103	Colec12	NM_130449	
ENSMUSG00000041220	Elovl6	NM_130450	
ENSMUSG00000020752	Recql5	NM_130454	
ENSMUSG00000042364	Snx18	NM_130796	
ENSMUSG00000033170	Card10	NM_130859	
ENSMUSG00000009555	Cdk9	NM_130860	
ENSMUSG00000024858	Adrbk1	NM_130863	
ENSMUSG00000036138	Acaa1a	NM_130864	
ENSMUSG00000043411	Usp48	NM_130879	
ENSMUSG00000011257	Pabpc4	NM_130881	
ENSMUSG00000027406	Idh3b	NM_130884	
ENSMUSG00000028333	Anp32b	NM_130889	
ENSMUSG00000019864	Rtn4ip1	NM_130892	
ENSMUSG00000022438	Parvb	NM_133167	
ENSMUSG00000020230	Prmt2	NM_133182	
ENSMUSG00000078815	Cacng6	NM_133183	
ENSMUSG00000097894	Cacng6	NM_133183	
ENSMUSG00000022540	Rogdi	NM_133185	
ENSMUSG00000026389	Steap3	NM_133186	
ENSMUSG00000027955	Fam198b	NM_133187	
ENSMUSG00000069565	Dazap1	NM_133188	
ENSMUSG00000031256	Cstf2	NM_133196	
ENSMUSG00000021069	Pygl	NM_133198	
ENSMUSG00000029020	Mfn2	NM_133201	
ENSMUSG00000033545	Znrf1	NM_133206	
ENSMUSG00000055200	Sertad3	NM_133210	
ENSMUSG00000058173	Smco4	NM_133214	
ENSMUSG00000018401	Mtmr4	NM_133215	
ENSMUSG00000025027	Xpnpep1	NM_133216	
ENSMUSG00000040209	Zfp704	NM_133218	
ENSMUSG00000039167	Eltd1	NM_133222	
ENSMUSG00000031862	Atp13a1	NM_133224	
ENSMUSG00000026499	Acbd3	NM_133225	
ENSMUSG00000022142	Nup155	NM_133227	
ENSMUSG00000097333	Zfp87	NM_133228	
ENSMUSG00000036615	Rfxap	NM_133231	
ENSMUSG00000026773	Pfkfb3	NM_133232	
ENSMUSG00000029638	Glcci1	NM_133236	
ENSMUSG00000071847	Apcdd1	NM_133237	
ENSMUSG00000017307	Acot8	NM_133240	
ENSMUSG00000027620	Rbm39	NM_133242	
ENSMUSG00000025437	Usp33	NM_133247	
ENSMUSG00000033871	Ppargc1b	NM_133249	
ENSMUSG00000030330	Ing4	NM_133345	
ENSMUSG00000039483	Asb6	NM_133346	
ENSMUSG00000032480	Dhx30	NM_133347	
ENSMUSG00000028937	Acot7	NM_133348	
ENSMUSG00000029166	Mapre3	NM_133350	
ENSMUSG00000025016	Tm9sf3	NM_133352	
ENSMUSG00000020738	Sumo2	NM_133354	
ENSMUSG00000066880	Zfp617	NM_133358	
ENSMUSG00000020532	Acaca	NM_133360	
ENSMUSG00000028992	Nmnat1	NM_133435	
ENSMUSG00000040653	Ppp1r14c	NM_133485	
ENSMUSG00000027422	Rrbp1	NM_133626	
ENSMUSG00000034930	Rtkn	NM_133641	
ENSMUSG00000027130	Slc12a6	NM_133649	
ENSMUSG00000016494	Cd34	NM_133654	
ENSMUSG00000037706	Cd81	NM_133655	
ENSMUSG00000017776	Crk	NM_133656	
ENSMUSG00000024382	Ercc3	NM_133658	
ENSMUSG00000040732	Erg	NM_133659	
ENSMUSG00000003541	Ier3	NM_133662	
ENSMUSG00000001419	Mef2d	NM_133665	
ENSMUSG00000037916	Ndufv1	NM_133666	
ENSMUSG00000038967	Pdk2	NM_133667	
ENSMUSG00000061904	Slc25a3	NM_133668	
ENSMUSG00000060090	Rp2h	NM_133669	
ENSMUSG00000030711	Sult1a1	NM_133670	
ENSMUSG00000030435	U2af2	NM_133671	
ENSMUSG00000020078	Vps26a	NM_133672	
ENSMUSG00000026848	Tor1b	NM_133673	
ENSMUSG00000033542	Arhgef5	NM_133674	
ENSMUSG00000006289	Osgep	NM_133676	
ENSMUSG00000024790	Sac3d1	NM_133678	
ENSMUSG00000058240	Cryzl1	NM_133679	
ENSMUSG00000069520	Tmem19	NM_133683	
ENSMUSG00000073481	Marc2	NM_133684	
ENSMUSG00000056515	Rab31	NM_133685	
ENSMUSG00000046668	Cxxc5	NM_133687	
ENSMUSG00000040370	Lyrm5	NM_133688	
ENSMUSG00000030726	Pold3	NM_133692	
ENSMUSG00000036733	Rbm42	NM_133693	
ENSMUSG00000037822	Smim14	NM_133697	
ENSMUSG00000038187	Btbd10	NM_133700	
ENSMUSG00000002455	Prpf6	NM_133701	
ENSMUSG00000018433	Nol11	NM_133702	
ENSMUSG00000083012	Fam220a	NM_133703	
ENSMUSG00000034473	Sec22a	NM_133704	
ENSMUSG00000026520	Pycr2	NM_133705	
ENSMUSG00000037278	Tmem97	NM_133706	
ENSMUSG00000033021	Gmppa	NM_133708	
ENSMUSG00000047409	Ctdspl	NM_133710	
ENSMUSG00000022992	Kansl2	NM_133714	
ENSMUSG00000034255	Arhgap27	NM_133715	
ENSMUSG00000032870	Smap2	NM_133716	
ENSMUSG00000032328	Tmem30a	NM_133718	
ENSMUSG00000002274	Metrn	NM_133719	
ENSMUSG00000039115	Itga9	NM_133721	
ENSMUSG00000038459	Abhd17c	NM_133722	
ENSMUSG00000028207	Asph	NM_133723	
ENSMUSG00000060708	Bloc1s4	NM_133724	
ENSMUSG00000022403	St13	NM_133726	
ENSMUSG00000006021	Kptn	NM_133727	
ENSMUSG00000026095	Asnsd1	NM_133728	
ENSMUSG00000031112	Stk26	NM_133729	
ENSMUSG00000031938	4931406C07Rik	NM_133732	
ENSMUSG00000032024	Clmp	NM_133733	
ENSMUSG00000022214	Dcaf11	NM_133734	
ENSMUSG00000029624	Ptcd1	NM_133735	
ENSMUSG00000062190	Lancl2	NM_133737	
ENSMUSG00000029338	Antxr2	NM_133738	
ENSMUSG00000050912	Tmem123	NM_133739	
ENSMUSG00000030505	Prmt3	NM_133740	
ENSMUSG00000049305	Ccdc71	NM_133744	
ENSMUSG00000002017	Fam98a	NM_133747	
ENSMUSG00000003721	Insig2	NM_133748	
ENSMUSG00000055943	Emc7	NM_133749	
ENSMUSG00000022434	Fam118a	NM_133750	
ENSMUSG00000038084	Opa1	NM_133752	
ENSMUSG00000028967	Errfi1	NM_133753	
ENSMUSG00000025474	Tubgcp2	NM_133755	
ENSMUSG00000064037	Gpn1	NM_133756	
ENSMUSG00000017715	Pgs1	NM_133757	
ENSMUSG00000059263	Usp47	NM_133758	
ENSMUSG00000029524	Sirt4	NM_133760	
ENSMUSG00000021962	Dcp1a	NM_133761	
ENSMUSG00000042029	Ncapg2	NM_133762	
ENSMUSG00000017299	Dnttip1	NM_133763	
ENSMUSG00000039347	Atp6v0e2	NM_133764	
ENSMUSG00000052934	Fbxo31	NM_133765	
ENSMUSG00000015002	Efr3a	NM_133766	
ENSMUSG00000020459	Mtif2	NM_133767	
ENSMUSG00000025533	Asl	NM_133768	
ENSMUSG00000020340	Cyfip2	NM_133769	
ENSMUSG00000003762	Adck4	NM_133770	
ENSMUSG00000058704	Memo1	NM_133771	
ENSMUSG00000070003	Ssbp4	NM_133772	
ENSMUSG00000024378	Stard4	NM_133774	
ENSMUSG00000060860	Ube2s	NM_133777	
ENSMUSG00000017721	Pigt	NM_133779	
ENSMUSG00000006005	Tpr	NM_133780	
ENSMUSG00000036707	Cab39	NM_133781	
ENSMUSG00000026820	Ptges2	NM_133783	
ENSMUSG00000027803	Wwtr1	NM_133784	
ENSMUSG00000034349	Smc4	NM_133786	
ENSMUSG00000027787	Nmd3	NM_133787	
ENSMUSG00000039662	Icmt	NM_133788	
ENSMUSG00000030374	Strn4	NM_133789	
ENSMUSG00000031563	Wwc2	NM_133791	
ENSMUSG00000031903	Pla2g15	NM_133792	
ENSMUSG00000032604	Qars	NM_133794	
ENSMUSG00000041278	Ttc1	NM_133795	
ENSMUSG00000025132	Arhgdia	NM_133796	
ENSMUSG00000025871	4833439L19Rik	NM_133797	
ENSMUSG00000032705	Exd2	NM_133798	
ENSMUSG00000033099	Nol12	NM_133800	
ENSMUSG00000002658	Gtf2f1	NM_133801	
ENSMUSG00000063904	Dpp3	NM_133803	
ENSMUSG00000024736	Tmem132a	NM_133804	
ENSMUSG00000034432	Cops8	NM_133805	
ENSMUSG00000026670	Uap1	NM_133806	
ENSMUSG00000020869	Lrrc59	NM_133807	
ENSMUSG00000034088	Hdlbp	NM_133808	
ENSMUSG00000026094	Stk17b	NM_133810	
ENSMUSG00000004880	Lbr	NM_133815	
ENSMUSG00000036206	Sh3bp4	NM_133816	
ENSMUSG00000042197	Zfp451	NM_133817	
ENSMUSG00000010290	AI597479	NM_133818	
ENSMUSG00000046062	Ppp1r15b	NM_133819	
ENSMUSG00000044340	Phlpp1	NM_133821	
ENSMUSG00000037022	Mmaa	NM_133823	
ENSMUSG00000033793	Atp6v1h	NM_133826	
ENSMUSG00000041439	Mfsd6	NM_133829	
ENSMUSG00000041560	Gltscr2	NM_133831	
ENSMUSG00000042079	Hnrnpf	NM_133834	
ENSMUSG00000036352	Ubac1	NM_133835	
ENSMUSG00000023206	Il15ra	NM_133836	
ENSMUSG00000039128	Cdc123	NM_133837	
ENSMUSG00000027293	Ehd4	NM_133838	
ENSMUSG00000026766	Mmadhc	NM_133839	
ENSMUSG00000027079	Clp1	NM_133840	
ENSMUSG00000068040	Tm9sf4	NM_133847	
ENSMUSG00000056941	Commd7	NM_133850	
ENSMUSG00000027306	Nusap1	NM_133851	
ENSMUSG00000002546	Golga2	NM_133852	
ENSMUSG00000052539	Magi3	NM_133853	
ENSMUSG00000001018	Snapin	NM_133854	
ENSMUSG00000039701	Usp53	NM_133857	
ENSMUSG00000038712	Fam63a	NM_133858	
ENSMUSG00000027848	Olfml3	NM_133859	
ENSMUSG00000040774	Cept1	NM_133869	
ENSMUSG00000036940	Kdm1a	NM_133872	
ENSMUSG00000028896	Rcc1	NM_133878	
ENSMUSG00000028952	Zbtb48	NM_133879	
ENSMUSG00000037366	Pafah2	NM_133880	
ENSMUSG00000042558	Adprhl2	NM_133883	
ENSMUSG00000028848	Gpn2	NM_133884	
ENSMUSG00000028559	Osbpl9	NM_133885	
ENSMUSG00000028830	AU040320	NM_133886	
ENSMUSG00000028879	Stx12	NM_133887	
ENSMUSG00000040859	Bsdc1	NM_133889	
ENSMUSG00000028412	Slc44a1	NM_133891	
ENSMUSG00000029416	Slc15a4	NM_133895	
ENSMUSG00000054720	Lrrc8c	NM_133897	
ENSMUSG00000029446	Psph	NM_133900	
ENSMUSG00000029596	Sdsl	NM_133902	
ENSMUSG00000037379	Spon2	NM_133903	
ENSMUSG00000042010	Acacb	NM_133904	
ENSMUSG00000042167	Papd4	NM_133905	
