# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
H3K4me3Heart_30	Cops5 (-1827), Cspp1 (+1736)
H3K4me3Heart_3197	Rxfp1 (-46724), Tmem144 (+57211)
H3K4me3Heart_3202	Gria2 (+67)
H3K4me3Heart_3206	Ctso (-96967), Pdgfc (+799218)
H3K4me3Heart_3209	Gucy1b3 (-66390), Gucy1a3 (+4776)
H3K4me3Heart_3219	Sfrp2 (-492597), Plrg1 (+218202)
H3K4me3Heart_3246	Glt28d2 (-106286), Prss48 (+8689)
H3K4me3Heart_3257	Lrrc71 (+3151), Arhgef11 (+127897)
H3K4me3Heart_3261	Insrr (+7392), Pear1 (+19916)
H3K4me3Heart_3278	Mef2d (-8797), Iqgap3 (+51724)
H3K4me3Heart_3281	Mef2d (+7928), Tsacc (+146338)
H3K4me3Heart_3292	Slc25a44 (-16057), Sema4a (+14543)
H3K4me3Heart_3302	Arhgef2 (-4497)
H3K4me3Heart_3310	Dap3 (-460)
H3K4me3Heart_3330	Efna1 (-40194), Efna3 (+3126)
H3K4me3Heart_3371	S100a3 (-58879), S100a16 (+4082)
H3K4me3Heart_3397	Zfp687 (-9629), Psmd4 (+17685)
H3K4me3Heart_3404	Sema6c (+9376), Gabpb2 (+44234)
H3K4me3Heart_3408	Gm128 (+596)
H3K4me3Heart_3429	Car14 (+1925), Aph1a (+8711)
H3K4me3Heart_3433	Anp32e (+31898), Plekho1 (+34857)
H3K4me3Heart_3437	Vps45 (-35861), Otud7b (-10200)
H3K4me3Heart_3463	Hfe2 (-61005), BC107364 (-11874)
H3K4me3Heart_3485	Acp6 (-82242), Gja5 (+44119)
H3K4me3Heart_3488	Bcl9 (-7737), Olfr1402 (+176078)
H3K4me3Heart_3493	Prkab2 (-6543), Fmo5 (+22865)
H3K4me3Heart_3496	Prkab2 (+25891), Pde4dip (+204604)
H3K4me3Heart_3506	Adam30 (-117881), Notch2 (+29393)
H3K4me3Heart_3528	Atp1a1 (+8386), Igsf3 (+219092)
H3K4me3Heart_3534	Casq2 (+722)
H3K4me3Heart_3571	Cttnbp2nl (-1836)
H3K4me3Heart_3573	Kcnd3 (-76606), 4930564D02Rik (+308880)
H3K4me3Heart_3576	Fam212b (-8903), Ddx20 (-8122)
H3K4me3Heart_3623	Fndc7 (-19321), Prpf38b (+2398)
H3K4me3Heart_3626	Gm9857 (-85426), Fam102b (+1736)
H3K4me3Heart_3652;H3K4me3Heart_3653	Slc35a3 (-93026), Agl (+2490)
H3K4me3Heart_3666	Ptbp2 (+284440), Dpyd (+936819)
H3K4me3Heart_3679;H3K4me3Heart_3680	Abcd3 (-75866), Arhgap29 (-62061)
H3K4me3Heart_3695	Myoz2 (+132)
H3K4me3Heart_3698	Myoz2 (-199554), Synpo2 (+1603)
H3K4me3Heart_3711	Camk2d (+96169), Ank2 (+715519)
H3K4me3Heart_3729	5730508B09Rik (-17918)
H3K4me3Heart_3730	Pitx2 (-223033)
H3K4me3Heart_3734	Pitx2 (+7572), Enpep (+111473)
H3K4me3Heart_3735	Pitx2 (+11141), Enpep (+107904)
H3K4me3Heart_3743	Gar1 (-4690), Cfi (-651)
H3K4me3Heart_3749	Etnppl (-279444), Col25a1 (+157113)
H3K4me3Heart_3756	Lef1 (-209994), Rpl34 (-170140)
H3K4me3Heart_3772	Ppa2 (+29484), Tet2 (+149077)
H3K4me3Heart_3774	Cxxc4 (-478354), Tet2 (-269795)
H3K4me3Heart_3777	Tet2 (-711501), Cxxc4 (-36648)
H3K4me3Heart_3789	Manba (+36682), Nfkb1 (+169253)
H3K4me3Heart_3791	Slc39a8 (-94346), Nfkb1 (-39387)
H3K4me3Heart_3793	Slc39a8 (+182495), Bank1 (+318292)
H3K4me3Heart_3795	Emcn (-615454), Ppp3ca (+54843)
H3K4me3Heart_3797	Emcn (+1674), Gm4861 (+209881)
H3K4me3Heart_3805	1110002E22Rik (-63838), Dapp1 (-19669)
H3K4me3Heart_3806	Gm5105 (-2992)
H3K4me3Heart_3824	Kyat3 (-12854), Gbp2 (+67624)
H3K4me3Heart_3833	Lmo4 (-359360), Hs2st1 (+8504)
H3K4me3Heart_3835	Sh3glb1 (+2293), Selenof (+147604)
H3K4me3Heart_3837	Clca3a1 (+29)
H3K4me3Heart_3848	Syde2 (+3450), Wdr63 (+116810)
H3K4me3Heart_3863	Samd13 (-81104), Prkacb (+14720)
H3K4me3Heart_3868	Ttll7 (+329595)
H3K4me3Heart_3879	Ifi44l (+108)
H3K4me3Heart_3907	Tyw3 (+129205), Slc44a5 (+494454)
H3K4me3Heart_3912	Tnni3k (+156)
H3K4me3Heart_3923	Wls (-57148), Rpe65 (+183356)
H3K4me3Heart_3949	Clvs1 (-314723), Chd7 (+263673)
H3K4me3Heart_3951	Clvs1 (-132970), Chd7 (+445426)
H3K4me3Heart_3953	Asph (+26341), Clvs1 (+373504)
H3K4me3Heart_3956	Asph (-162228), Gdf6 (-12982)
H3K4me3Heart_3979	Fam92a (-483291)
H3K4me3Heart_3984	Slc26a7 (+112040), Runx1t1 (+766329)
H3K4me3Heart_4001	Gm12353 (-28871), Rmdn1 (+1373)
H3K4me3Heart_4003	Slc7a13 (-93513), Wwp1 (-16219)
H3K4me3Heart_4020	Mms22l (-513218)
H3K4me3Heart_4022	Klhl32 (+58429), Mms22l (+296244)
H3K4me3Heart_4031	Map3k7 (-202127)
H3K4me3Heart_4039	Bach2 (+64892), Gja10 (+299064)
H3K4me3Heart_4040	Gja10 (+171766), Bach2 (+192190)
H3K4me3Heart_4041	Gja10 (+115644), Bach2 (+248312)
H3K4me3Heart_4046	Ankrd6 (+33839), Lyrm2 (+89363)
H3K4me3Heart_4056	Cnr1 (-207707), Rngtt (+406614)
H3K4me3Heart_4067	Ifnk (-144995), Cga (+113282)
H3K4me3Heart_4084	Aqp7 (-2910)
H3K4me3Heart_4088	Ubap2 (+19357), Ube2r2 (+120035)
H3K4me3Heart_4107	Dnajb5 (-16200), Phf24 (+16416)
H3K4me3Heart_4109	1700022I11Rik (-16533), Dnajb5 (+3546)
H3K4me3Heart_4120	Rusc2 (+17509), Fam166b (+29646)
H3K4me3Heart_4150	Grhpr (-7573), Zcchc7 (+217254)
H3K4me3Heart_4162	Aldh1b1 (-207411), Shb (-61281)
H3K4me3Heart_4167	Tdrd7 (+500)
H3K4me3Heart_4174	Foxe1 (-596)
H3K4me3Heart_4199	Tex10 (+65779), Invs (+127878)
H3K4me3Heart_4201	Msantd3 (-48507), Tex10 (-17969)
H3K4me3Heart_4224	Rad23b (-141578), Zfp462 (+260489)
H3K4me3Heart_4225	Rad23b (-68282), Zfp462 (+333785)
H3K4me3Heart_4234	Ctnnal1 (-75674), Tmem245 (+6575)
H3K4me3Heart_4235	Ctnnal1 (-79531), Tmem245 (+2718)
H3K4me3Heart_4239	Epb41l4b (-156792), Ptpn3 (+1608)
H3K4me3Heart_4240	Palm2 (-259321), Ptpn3 (-7001)
H3K4me3Heart_4242	Ptpn3 (-259277), Palm2 (-7045)
H3K4me3Heart_4245	Akap2 (-213738), Palm2 (+72262)
H3K4me3Heart_4291	Trim32 (+2312), Astn2 (+797313)
H3K4me3Heart_4303	Ptprd (-193730)
H3K4me3Heart_4326	Bnc2 (+468269), Ccdc171 (+681220)
H3K4me3Heart_4344	Slc24a2 (-139461), Mllt3 (+663426)
H3K4me3Heart_4370	Tek (+2135), Eqtn (+187359)
H3K4me3Heart_4384	E130114P18Rik (-142569), Tm2d1 (+462689)
H3K4me3Heart_4392	Usp1 (+513)
H3K4me3Heart_4398	Foxd3 (-29990), Gm12689 (+330409)
H3K4me3Heart_4426	Tctex1d1 (-129970), Sgip1 (+96046)
H3K4me3Heart_4447	Ssbp3 (-1963)
H3K4me3Heart_4458	Magoh (-33277), Lrp8 (+44065)
H3K4me3Heart_4482	Osbpl9 (+54681), Nrd1 (+146936)
H3K4me3Heart_4487	Rnf11 (+1527), Ttc39a (+59500)
H3K4me3Heart_4494	Dmrta2 (+4444), Elavl4 (+304392)
H3K4me3Heart_4526	Lrrc41 (-2011), Uqcrh (+1813)
H3K4me3Heart_4531	Pik3r3 (-44914), 1700042G07Rik (+3375)
H3K4me3Heart_4532	Pik3r3 (-38819), 1700042G07Rik (+9470)
H3K4me3Heart_4546	Zswim5 (-37139), Hpdl (-18729)
H3K4me3Heart_4583	Tie1 (+425)
H3K4me3Heart_4606	Ctps (+2165), Slfnl1 (+35880)
H3K4me3Heart_4608;H3K4me3Heart_4609	Cited4 (-53315), Gm8439 (+24503)
H3K4me3Heart_4619	Exo5 (-24967), Zfp69 (+1727)
H3K4me3Heart_4650	Rhbdl2 (+114)
H3K4me3Heart_4658	3100002H09Rik (+176086), Rragc (+517271)
H3K4me3Heart_4660	3100002H09Rik (-35744), Utp11 (+47054)
H3K4me3Heart_4677	Gnl2 (-39719), Rspo1 (+3843)
H3K4me3Heart_4693	Map7d1 (-3566), Trappc3 (-2476)
H3K4me3Heart_4713	Sfpq (+3955), Zmym1 (+35873)
H3K4me3Heart_4720	Smim12 (+8185), Gja4 (+62070)
H3K4me3Heart_4733	Rnf19b (-24827), Ak2 (+40220)
H3K4me3Heart_4745	Sync (+6212), Rbbp4 (+41541)
H3K4me3Heart_4764	Ptp4a2 (-48341), Khdrbs1 (-29584)
H3K4me3Heart_4765	Khdrbs1 (-53114), Ptp4a2 (-24811)
H3K4me3Heart_4769	Spocd1 (-41239), Ptp4a2 (+86261)
H3K4me3Heart_4770	Spocd1 (-33693), Ptp4a2 (+93807)
H3K4me3Heart_4774	Col16a1 (-41030), Adgrb2 (+21646)
H3K4me3Heart_4775	Col16a1 (-10600), Adgrb2 (+52076)
H3K4me3Heart_4779	Hcrtr1 (-24272), Tinagl1 (+11171)
H3K4me3Heart_4791	Matn1 (+308825), Ptpru (+585021)
H3K4me3Heart_4800	Epb41 (-1800)
H3K4me3Heart_4828	Fam76a (-27656), Fgr (-23888)
H3K4me3Heart_4833	Wasf2 (-35041), Ahdc1 (+83958)
H3K4me3Heart_4849	Nr0b2 (+193)
H3K4me3Heart_4859	Arid1a (-62904), Rps6ka1 (+71282)
H3K4me3Heart_4860	Arid1a (-74623), Rps6ka1 (+59563)
H3K4me3Heart_4877	Trim63 (-21567), Pdik1l (-5658)
H3K4me3Heart_4878	Trim63 (+773)
H3K4me3Heart_4889	Selenon (-27083), Man1c1 (+125041)
H3K4me3Heart_4891	Man1c1 (+961)
H3K4me3Heart_4901	Runx3 (+45977), Clic4 (+106185)
H3K4me3Heart_4902	Runx3 (+54667), Clic4 (+97495)
H3K4me3Heart_4905	Clic4 (+5536), Runx3 (+146626)
H3K4me3Heart_4907	Clic4 (-14347), Srrm1 (+66083)
H3K4me3Heart_4914	Grhl3 (+28303), Stpg1 (+49340)
H3K4me3Heart_4945	Ephb2 (+80197), Tex46 (+145354)
H3K4me3Heart_4957	Usp48 (-117418), Hspg2 (+7986)
H3K4me3Heart_4967	Eif4g3 (-71835), Ece1 (+58950)
H3K4me3Heart_4980	Camk2n1 (+41840), Vwa5b1 (+127858)
H3K4me3Heart_5002	Igsf21 (-334856), Arhgef10l (+67110)
H3K4me3Heart_5005	Rcc2 (-42479), Arhgef10l (-9312)
H3K4me3Heart_5024	Epha2 (-41064), Arhgef19 (+17307)
H3K4me3Heart_5029	Clcnka (-6063), Clcnkb (+11227)
H3K4me3Heart_5030	Hspb7 (+1291), Gm694 (+14035)
H3K4me3Heart_5051	Prdm2 (-84517), Pdpn (+2342)
H3K4me3Heart_5055	Pramel1 (-4810)
H3K4me3Heart_5073	Nppb (+673)
H3K4me3Heart_5074	Nppa (+491)
H3K4me3Heart_5091	Casz1 (-147278), Gm572 (+13834)
H3K4me3Heart_5092	Casz1 (-137077), Gm572 (+24035)
H3K4me3Heart_5095	Casz1 (-57711), Gm572 (+103401)
H3K4me3Heart_5101	Pex14 (+138897), Casz1 (+156550)
H3K4me3Heart_5102	Pex14 (+42318), Casz1 (+253129)
H3K4me3Heart_5131	Rere (+1679), Slc45a1 (+368849)
H3K4me3Heart_5139	Uts2 (-59009), Tnfrsf9 (+17898)
H3K4me3Heart_5141	Uts2 (+15504), Per3 (+32064)
H3K4me3Heart_5144	Gm13090 (+8089), Camta1 (+764087)
H3K4me3Heart_5145	Gm13090 (+15028), Camta1 (+757148)
H3K4me3Heart_5155	Klhl21 (+4893), Zbtb48 (+13965)
H3K4me3Heart_5161	Tnfrsf25 (+10)
H3K4me3Heart_5162	Tnfrsf25 (+5151), Espn (+31122)
H3K4me3Heart_5183	Wrap73 (-2181), Trp73 (+17)
H3K4me3Heart_5188	Arhgef16 (+53311), Megf6 (+76013)
H3K4me3Heart_5191	Arhgef16 (-243051), Prdm16 (+93761)
H3K4me3Heart_5193	Prdm16 (-4712)
H3K4me3Heart_5206	Faap20 (-14337), Ski (-13074)
H3K4me3Heart_5211	Tmem52 (+81)
H3K4me3Heart_5257	Fzd1 (-503194), Cdk14 (+118787)
H3K4me3Heart_5281	Sema3a (-891771), Sema3d (+124372)
H3K4me3Heart_5299	Fgl2 (-42175), Gsap (+144200)
H3K4me3Heart_5301	Fgl2 (+2235), Ccdc146 (+49800)
H3K4me3Heart_5315	Orc5 (-701444), Kmt2e (-182622)
H3K4me3Heart_5328	Tomm7 (-30687), Fam126a (+155842)
H3K4me3Heart_5354	Wdr86 (-8835), Crygn (+18446)
H3K4me3Heart_5357	Rheb (-634)
H3K4me3Heart_5361	Prkag2 (+779)
H3K4me3Heart_5408	Ost4 (+1417), Agbl5 (+17365)
H3K4me3Heart_5417	Slc30a3 (+10668), Cad (+28167)
H3K4me3Heart_5419	Trim54 (+168)
H3K4me3Heart_5434	Slc4a1ap (+44423), Rbks (+126207)
H3K4me3Heart_5449	Spon2 (+265)
H3K4me3Heart_5450	Spon2 (-16357), Ctbp1 (+40374)
H3K4me3Heart_5454	Nkx1-1 (+2739), Uvssa (+52541)
H3K4me3Heart_5457	Nkx1-1 (-101183), Fam53a (+94476)
H3K4me3Heart_5495	Psapl1 (-282119), Afap1 (+28583)
H3K4me3Heart_5496	Sorcs2 (+84441), Psapl1 (+109662)
H3K4me3Heart_5520	Msx1 (-147444), Stx18 (-66715)
H3K4me3Heart_5561	5730480H06Rik (+137184)
H3K4me3Heart_5566	Ppargc1a (+141466)
H3K4me3Heart_5567	Ppargc1a (+2650)
H3K4me3Heart_5571	Sod3 (+4636), Ccdc149 (+6964)
H3K4me3Heart_5586	Rbpj (-120308), Smim20 (+202801)
H3K4me3Heart_5592	Pcdh7 (+5085)
H3K4me3Heart_5593	NONE
H3K4me3Heart_5599	Tbc1d1 (-2926)
H3K4me3Heart_5607	Klf3 (+5287), Tlr1 (+123951)
H3K4me3Heart_5608	Klf3 (+9028), Tlr1 (+120210)
H3K4me3Heart_5619	Pds5a (+1793), Ube2k (+158830)
H3K4me3Heart_5622	N4bp2 (+143)
H3K4me3Heart_5628	Nsun7 (+63735), Apbb2 (+295034)
H3K4me3Heart_5634	Limch1 (+2262), Phox2b (+351204)
H3K4me3Heart_5643	Shisa3 (-163496), Bend4 (-16588)
H3K4me3Heart_5658	Commd8 (-333601), Corin (+2424)
H3K4me3Heart_5669	Fryl (+88127), Slc10a4 (+161587)
H3K4me3Heart_5683	Usp46 (-93425), Rasl11b (-33441)
H3K4me3Heart_5687	Fip1l1 (+78347), Lnx1 (+89082)
H3K4me3Heart_5694	Pdgfra (-3463)
H3K4me3Heart_5698	Kit (+159976), Kdr (+243527)
H3K4me3Heart_5709	Cep135 (+114282), Aasdh (+202531)
H3K4me3Heart_5711	Aasdh (+39533), Cep135 (+277280)
H3K4me3Heart_5713	Aasdh (+29094), Cep135 (+287719)
H3K4me3Heart_5715	Aasdh (-23102), Paics (-22691)
H3K4me3Heart_5721	Hopx (+2655), Thegl (+96483)
H3K4me3Heart_5722	Hopx (+149)
H3K4me3Heart_5731	Igfbp7 (-172383)
H3K4me3Heart_5733	Adgrl3 (-603088)
H3K4me3Heart_5735	Tecrl (+268)
H3K4me3Heart_5743	Grsf1 (-35954), Mob1b (-8746)
H3K4me3Heart_5747	Slc4a4 (+42335), Gc (+528131)
H3K4me3Heart_5763	Rchy1 (+2459), Parm1 (+442994)
H3K4me3Heart_5772	Cxcl9 (-4601)
H3K4me3Heart_5774	Art3 (-1133)
H3K4me3Heart_5784	Sowahb (+144801), Shroom3 (+216786)
H3K4me3Heart_5798	Paqr3 (-276075), Naa11 (+4659)
H3K4me3Heart_5803	Fgf5 (-64391), Prdm8 (+8924)
H3K4me3Heart_5809	Prkg2 (-211553), Rasgef1b (+480141)
H3K4me3Heart_5812	Prkg2 (-533644), Rasgef1b (+158050)
H3K4me3Heart_5817	Enoph1 (-3198), Hnrnpdl (+2426)
H3K4me3Heart_5822	Tmem150c (-55305), Sec31a (+201121)
H3K4me3Heart_5834	Nkx6-1 (+126032), Gpat3 (+692975)
H3K4me3Heart_5843	Mapk10 (-277963), Ptpn13 (-88843)
H3K4me3Heart_5853	Hsd17b13 (-42828), Hsd17b11 (+1727)
H3K4me3Heart_5862	Abcg3 (+72)
H3K4me3Heart_5882	Brdt (-27631), Tgfbr3 (-13899)
H3K4me3Heart_5909	Fgfrl1 (-1885)
H3K4me3Heart_5940	Pitpnb (-471481), Chek2 (+19266)
H3K4me3Heart_5953	Tfip11 (-36917), Tpst2 (+12750)
H3K4me3Heart_5954	Tfip11 (-1470)
H3K4me3Heart_5959	Myo18b (+95)
H3K4me3Heart_5971	Wscd2 (+13158), Cmklr1 (+167810)
H3K4me3Heart_5978	Coro1c (-22493), Ssh1 (+62643)
H3K4me3Heart_5983	Acacb (+337)
H3K4me3Heart_5984	Acacb (+27524), Foxn4 (+99748)
H3K4me3Heart_5988	Kctd10 (+23544), Myo1h (+41998)
H3K4me3Heart_5989	Ube3b (-2822), Kctd10 (+2677)
H3K4me3Heart_6035	Pxn (-14793), Sirt4 (-7290)
H3K4me3Heart_6037	Rplp0 (-44055), Pxn (+8604)
H3K4me3Heart_6043	Bicdl1 (-68098), Cit (-45925)
H3K4me3Heart_6047	Tmem233 (-188633), Ccdc60 (+17108)
H3K4me3Heart_6048	Ccdc60 (-186)
H3K4me3Heart_6051	Hspb8 (-23734), Srrm4 (+145219)
H3K4me3Heart_6053	Hspb8 (-34239), Srrm4 (+134714)
H3K4me3Heart_6065	Nos1 (-294969), Ksr2 (+132346)
H3K4me3Heart_6076	Med13l (-266419), 2410131K14Rik (+49073)
H3K4me3Heart_6084	Med13l (-680)
H3K4me3Heart_6085	Med13l (+105898)
H3K4me3Heart_6095	Tbx5 (-33939), Tbx3 (+129706)
H3K4me3Heart_6101	Lhx5 (-220571), Rbm19 (+94689)
H3K4me3Heart_6103	Lhx5 (+4491), Sdsl (+36502)
H3K4me3Heart_6104	Lhx5 (+8737), Sdsl (+32256)
H3K4me3Heart_6112	Rasal1 (-17428), Ddx54 (+18275)
H3K4me3Heart_6113	Rasal1 (-56)
H3K4me3Heart_6137	Myl2 (-41282), Cux2 (-9818)
H3K4me3Heart_6138	Cux2 (-43952), Myl2 (-7148)
H3K4me3Heart_6139	Myl2 (+1766), Ccdc63 (+35345)
H3K4me3Heart_6150;H3K4me3Heart_6151	Atp2a2 (+4431), Anapc7 (+76050)
H3K4me3Heart_6164	Tmem120b (-15922), Morn3 (-13337)
H3K4me3Heart_6168	Setd1b (+483)
H3K4me3Heart_6176	Il31 (+10982), Mlxip (+76319)
H3K4me3Heart_6177	B3gnt4 (-12164), Lrrc43 (+8971)
H3K4me3Heart_6187	Vps37b (+21116), Hip1r (+37516)
H3K4me3Heart_6188	Vps37b (+17282), Hip1r (+41350)
H3K4me3Heart_6189	Vps37b (+4465), Hip1r (+54167)
H3K4me3Heart_6190	Vps37b (+2516), Hip1r (+56116)
H3K4me3Heart_6212	Rflna (-103214), Zfp664 (+37542)
H3K4me3Heart_6213	Rflna (-39291), Zfp664 (+101465)
H3K4me3Heart_6220	Ncor2 (-94629), Scarb1 (+67251)
H3K4me3Heart_6244	Sfswap (-85493), Adgrd1 (+318988)
H3K4me3Heart_6245	Sfswap (-46237), Adgrd1 (+358244)
H3K4me3Heart_6251	Nipsnap2 (+4633), Psph (+49749)
H3K4me3Heart_6255	Sumf2 (+7823), Phkg1 (+24265)
H3K4me3Heart_6274	Wbscr17 (-887086), Auts2 (+346819)
H3K4me3Heart_6293	Stx1a (-11044), Abhd11 (+3139)
H3K4me3Heart_6302	Fzd9 (-23615), Fkbp6 (+75146)
H3K4me3Heart_6334	Myl10 (-73080), Cux1 (-52579)
H3K4me3Heart_6336	Myl10 (+21664), Col26a1 (+168311)
H3K4me3Heart_6337	Col26a1 (+80097), Myl10 (+109878)
H3K4me3Heart_6397	C130050O18Rik (-24200), Gpr146 (+1606)
H3K4me3Heart_6401	Zfand2a (-51007), Uncx (-8342)
H3K4me3Heart_6402	Uncx (+41595), Micall2 (+150843)
H3K4me3Heart_6406	Mafk (+5401), Tmem184a (+17369)
H3K4me3Heart_6433	Tnrc18 (-3073)
H3K4me3Heart_6493	Gsx1 (-2507)
H3K4me3Heart_6494	Gsx1 (-1378)
H3K4me3Heart_6497	Cdx2 (-8078), Urad (+7092)
H3K4me3Heart_6500	Flt1 (+105528), Pan3 (+190322)
H3K4me3Heart_6501	Flt1 (+102090), Pan3 (+193760)
H3K4me3Heart_6502	Flt1 (+67984), Pan3 (+227866)
H3K4me3Heart_6506	Pomp (-107480), Flt1 (-27137)
H3K4me3Heart_6508	Flt1 (-99736), Pomp (-34881)
H3K4me3Heart_6513	Mtus2 (+69763), Slc7a1 (+372821)
H3K4me3Heart_6515	Slc7a1 (+59286), Mtus2 (+383298)
H3K4me3Heart_6526	Katnal1 (-92103), Hmgb1 (+32290)
H3K4me3Heart_6537	Wdr95 (-14416), Tex26 (+74557)
H3K4me3Heart_6538	Wdr95 (-4129)
H3K4me3Heart_6542	Rxfp2 (-304735), B3glct (+35710)
H3K4me3Heart_6544	Rxfp2 (-166125), B3glct (+174320)
H3K4me3Heart_6545	Fry (-179234), Rxfp2 (+62021)
H3K4me3Heart_6550	Fry (+35635), Zar1l (+222599)
H3K4me3Heart_6557	Stard13 (+81581), Kl (+156006)
H3K4me3Heart_6568	Gng11 (+2751), Bet1 (+80278)
H3K4me3Heart_6570	Bet1 (-251355), Col1a2 (-167166)
H3K4me3Heart_6572	Casd1 (-54753), Col1a2 (+40594)
H3K4me3Heart_6576	Ppp1r9a (+102659), Pon1 (+187967)
H3K4me3Heart_6582	Pdk4 (+53142), Asb4 (+59781)
H3K4me3Heart_6583	Pdk4 (+1318), Asb4 (+111605)
H3K4me3Heart_6585	Pdk4 (-144916), Dync1i1 (-84566)
H3K4me3Heart_6601	Glcci1 (+2647), Ica1 (+266237)
H3K4me3Heart_6615	2610001J05Rik (-882158), Ppp1r3a (+1598)
H3K4me3Heart_6616	Ppp1r3a (+450)
H3K4me3Heart_6623	Cav2 (-83347), Tes (+132689)
H3K4me3Heart_6634	Lsm8 (-300425), Cttnbp2 (-33285)
H3K4me3Heart_6637	Kcnd2 (+11238), Tspan12 (+625774)
H3K4me3Heart_6638	Tspan12 (+29223), Kcnd2 (+607789)
H3K4me3Heart_6649	Ndufa5 (-2510), Asb15 (+2379)
H3K4me3Heart_6650	Lmod2 (+242)
H3K4me3Heart_6652	Hyal5 (+19077), Tmem229a (+61349)
H3K4me3Heart_6689	Nrf1 (-128911), Strip2 (+2107)
H3K4me3Heart_6693	Nrf1 (+128251), Ube2h (+128257)
H3K4me3Heart_6713	Plxna4 (+94684), 1700012A03Rik (+443262)
H3K4me3Heart_6725	Cald1 (-98907), Bpgm (+134328)
H3K4me3Heart_6738	Ptn (-285825), Dgki (+202788)
H3K4me3Heart_6791	Ezh2 (-153467), Pdia4 (+65015)
H3K4me3Heart_6811	Rarres2 (+447)
H3K4me3Heart_6823	Gimap5 (+145)
H3K4me3Heart_6845	Nfe2l3 (-624779), Npvf (-153452)
H3K4me3Heart_6850	Npvf (-557043), Nfe2l3 (-221188)
H3K4me3Heart_6856	Hnrnpa2b1 (-3446), Cbx3 (+515)
H3K4me3Heart_6859	Snx10 (+21497), Skap2 (+467151)
H3K4me3Heart_6876	Evx1 (+3200), Hibadh (+323691)
H3K4me3Heart_6880	Creb5 (-408596), Jazf1 (-96157)
H3K4me3Heart_6896	Znrf2 (-111327), Mturn (+23817)
H3K4me3Heart_6902	Crhr2 (+105)
H3K4me3Heart_6913	Kbtbd2 (+1827), Avl9 (+80982)
H3K4me3Heart_6926;H3K4me3Heart_6927	Herc3 (+29610), Nap1l5 (+43816)
H3K4me3Heart_6962	Smyd1 (+145)
H3K4me3Heart_6973	Atoh8 (+13159), St3gal5 (+124805)
H3K4me3Heart_6992	Kcmf1 (-220)
H3K4me3Heart_7012	Tlx2 (+1252), Dqx1 (+11197)
H3K4me3Heart_7032	Tet3 (-15298), Dguok (+49996)
H3K4me3Heart_7046	Cyp26b1 (+14239), Dysf (+555010)
H3K4me3Heart_7049	Gm5878 (+94)
H3K4me3Heart_7070	Fam136a (-156073), Tgfa (+14184)
H3K4me3Heart_7078	Pcbp1 (+38514), C87436 (+49283)
H3K4me3Heart_7080	Pcbp1 (+10036), C87436 (+77761)
H3K4me3Heart_7096	Bmp10 (+2530), Arhgap25 (+101703)
H3K4me3Heart_7139	Iqsec1 (-47258), Nup210 (+353042)
H3K4me3Heart_7150	Grip2 (+11315), Slc6a6 (+112074)
H3K4me3Heart_7163	Gm15737 (-41598), A730049H05Rik (+11281)
H3K4me3Heart_7164	Adamts9 (+33790), Gm15737 (+40345)
H3K4me3Heart_7170	Magi1 (+99845)
H3K4me3Heart_7173	Slc25a26 (+92650), Lrig1 (+107194)
H3K4me3Heart_7175	Kbtbd8 (-387716), Lrig1 (-29866)
H3K4me3Heart_7185	Lmod3 (+364)
H3K4me3Heart_7189	Lmod3 (-204425), Frmd4b (+160336)
H3K4me3Heart_7190	Lmod3 (-206427), Frmd4b (+158334)
H3K4me3Heart_7194	Mitf (+123037), Gm765 (+412659)
H3K4me3Heart_7199	Foxp1 (-43106), Eif4e3 (+460647)
H3K4me3Heart_7201	Foxp1 (-322179), Eif4e3 (+181574)
H3K4me3Heart_7206	Prok2 (-436969), Rybp (+124080)
H3K4me3Heart_7209	Rybp (-48372), Shq1 (+335326)
H3K4me3Heart_7217	Pdzrn3 (-154677), Cntn3 (+932093)
H3K4me3Heart_7237	Grm7 (+1796)
H3K4me3Heart_7239	Cav3 (+320)
H3K4me3Heart_7245	Rad18 (-248638), Srgap3 (+1958)
H3K4me3Heart_7259	Il17rc (+208)
H3K4me3Heart_7285	Raf1 (-19024), Tmem40 (+64283)
H3K4me3Heart_7292	Plxnd1 (-78047), Tmcc1 (+120434)
H3K4me3Heart_7303	Tmem72 (-263744), Cxcl12 (-187920)
H3K4me3Heart_7321	Cacna1c (+4197), Dcp1b (+16782)
H3K4me3Heart_7322	Cacna1c (+1555), Dcp1b (+19424)
H3K4me3Heart_7349	Mical3 (-170353), Pex26 (-10162)
H3K4me3Heart_7393	Ptms (-2104)
H3K4me3Heart_7414	Plekhg6 (-111347), Cd9 (+2651)
H3K4me3Heart_7423	Kcna6 (-52088), Ndufa9 (+56905)
H3K4me3Heart_7436	Cracr2a (+39916), Prmt8 (+151581)
H3K4me3Heart_7437	Prmt8 (+3121), Cracr2a (+188376)
H3K4me3Heart_7438	Prmt8 (+1664), Cracr2a (+189833)
H3K4me3Heart_7440	Tspan11 (+102491), Tspan9 (+146629)
H3K4me3Heart_7461	Clec1a (+338)
H3K4me3Heart_7469	Bcl2l14 (-232139), Etv6 (+146589)
H3K4me3Heart_7494	Atf7ip (+24671), Plbd1 (+118406)
