# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110002E22Rik	H3K4me3Heart_3805 (-63838)
Larp4b	H3K4me3Heart_14784 (+34190), H3K4me3Heart_14785 (+97555)
Larp6	H3K4me3Heart_10630 (+30409)
Lasp1	H3K4me3Heart_13473 (+5449)
Lbx1	H3K4me3Heart_19973 (-47553), H3K4me3Heart_19971 (+6204), H3K4me3Heart_19970 (+11828)
Lcor	H3K4me3Heart_19889 (-1342)
Lctl	H3K4me3Heart_10669 (-50032)
Ldb3	H3K4me3Heart_15856 (+723)
Ldlrad3	H3K4me3Heart_2025 (+183636)
Ldlrad4	H3K4me3Heart_19308 (+125967)
Lef1	H3K4me3Heart_3756 (-209994)
Lekr1	H3K4me3Heart_3141 (+197423)
Leng1	H3K4me3Heart_7607 (-1309)
Leprotl1	H3K4me3Heart_9258 (+26488)
Lgalsl	H3K4me3Heart_12513 (-28485)
Lhcgr	H3K4me3Heart_18835 (+62), H3K4me3Heart_18834 (+38377)
Lhfp	H3K4me3Heart_3076 (+22172)
Lhfpl2	H3K4me3Heart_15478 (-201671)
Lhx1	H3K4me3Heart_13242 (+3186)
Lhx2	H3K4me3Heart_1634 (+6244), H3K4me3Heart_1635 (+18118), H3K4me3Heart_1636 (+28547)
Lhx5	H3K4me3Heart_6101 (-220571), H3K4me3Heart_6103 (+4491), H3K4me3Heart_6104 (+8737)
Lhx9	H3K4me3Heart_768 (-6232), H3K4me3Heart_766 (-1426)
Lifr	H3K4me3Heart_16408 (+93798)
Limch1	H3K4me3Heart_5634 (+2262)
Limk2	H3K4me3Heart_12374 (+34460)
Lims1	H3K4me3Heart_11607 (-69356), H3K4me3Heart_11609 (+152)
Lin28b	H3K4me3Heart_11554 (+131285)
Lingo1	H3K4me3Heart_10570 (-27491), H3K4me3Heart_10568 (+78811)
Liph	H3K4me3Heart_17445 (+19268)
Litaf	H3K4me3Heart_17299 (+149151)
Llgl1	H3K4me3Heart_12851 (-159539)
Llph	H3K4me3Heart_12221 (+6912), H3K4me3Heart_12223 (+150346)
Lmnb1	H3K4me3Heart_19204 (-24418)
Lmntd1	H3K4me3Heart_7556 (-28237), H3K4me3Heart_7555 (-15688)
Lmo4	H3K4me3Heart_3833 (-359360)
Lmo7	H3K4me3Heart_16293 (+93971), H3K4me3Heart_16296 (+154353), H3K4me3Heart_16297 (+156395)
Lmod1	H3K4me3Heart_726 (+268)
Lmod2	H3K4me3Heart_6650 (+242)
Lmod3	H3K4me3Heart_7190 (-206427), H3K4me3Heart_7189 (-204425), H3K4me3Heart_7185 (+364)
Lmtk3	H3K4me3Heart_8194 (+352)
Lmx1b	H3K4me3Heart_1570 (-561)
Lnx1	H3K4me3Heart_5687 (+89082)
Lonrf1	H3K4me3Heart_9284 (+153025)
Lpin1	H3K4me3Heart_14070 (+403718)
Lpin2	H3K4me3Heart_18681 (-183429), H3K4me3Heart_18682 (-181962)
Lpl	H3K4me3Heart_9453 (+2185)
Lrig1	H3K4me3Heart_7175 (-29866), H3K4me3Heart_7173 (+107194)
Lrp2	H3K4me3Heart_1764 (-1153)
Lrp8	H3K4me3Heart_4458 (+44065)
Lrrc1	H3K4me3Heart_10813 (+159183)
Lrrc10	H3K4me3Heart_12183 (-21255)
Lrrc14b	H3K4me3Heart_15394 (+271)
Lrrc26	H3K4me3Heart_1362 (+2291)
Lrrc41	H3K4me3Heart_4526 (-2011)
Lrrc43	H3K4me3Heart_6177 (+8971)
Lrrc71	H3K4me3Heart_3257 (+3151)
Lrrc74a	H3K4me3Heart_14529 (+95790)
Lrrfip1	H3K4me3Heart_517 (-36068)
Lrrn3	H3K4me3Heart_14201 (-80567)
Lrtm1	H3K4me3Heart_15792 (-484917), H3K4me3Heart_15793 (+378)
Lsm6	H3K4me3Heart_9595 (+49618)
Lsm8	H3K4me3Heart_6634 (-300425)
Lsmem1	H3K4me3Heart_14193 (-21122), H3K4me3Heart_14192 (+588)
Lsp1	H3K4me3Heart_8993 (+11609), H3K4me3Heart_8994 (+14236)
Ltbp1	H3K4me3Heart_18713 (+432764)
Ltbp3	H3K4me3Heart_19542 (+16352)
Ltc4s	H3K4me3Heart_12697 (+7314)
Ly75	H3K4me3Heart_1718 (-132822)
Ly86	H3K4me3Heart_15038 (+311985)
Lypd6b	H3K4me3Heart_1669 (-53446)
Lyplal1	H3K4me3Heart_1129 (-470241)
Lyrm2	H3K4me3Heart_4046 (+89363)
Lysmd4	H3K4me3Heart_8295 (-178960)
Lyst	H3K4me3Heart_14807 (-151723)
Lzts2	H3K4me3Heart_19961 (+15713)
Macrod1	H3K4me3Heart_19598 (+13674)
Madd	H3K4me3Heart_1950 (+63586)
Maff	H3K4me3Heart_16814 (+33543), H3K4me3Heart_16815 (+54089)
Mafk	H3K4me3Heart_6406 (+5401)
Mageb18	H3K4me3Heart_20478 (-470518)
Magi1	H3K4me3Heart_7170 (+99845)
Magoh	H3K4me3Heart_4458 (-33277)
Maml3	H3K4me3Heart_3069 (-93393), H3K4me3Heart_3065 (+16208)
Man1c1	H3K4me3Heart_4891 (+961), H3K4me3Heart_4889 (+125041)
Man2a1	H3K4me3Heart_18628 (-107956)
Manba	H3K4me3Heart_3789 (+36682)
Map10	H3K4me3Heart_10124 (-130467)
Map1s	H3K4me3Heart_9529 (+299755)
Map2k4	H3K4me3Heart_12919;H3K4me3Heart_12920 (+422843)
Map3k1	H3K4me3Heart_15624 (+20487)
Map3k15	H3K4me3Heart_20759 (-45141)
Map3k20	H3K4me3Heart_1805 (-30395), H3K4me3Heart_1807 (+1728)
Map3k21	H3K4me3Heart_10130 (+53535)
Map3k7	H3K4me3Heart_4031 (-202127)
Map3k7cl	H3K4me3Heart_17769 (+165), H3K4me3Heart_17771 (+58170)
Map3k9	H3K4me3Heart_14450 (-63929)
Map4k3	H3K4me3Heart_18751 (-205377), H3K4me3Heart_18750 (-119134), H3K4me3Heart_18749 (-73638)
Map7d1	H3K4me3Heart_4693 (-3566)
Mapk10	H3K4me3Heart_5843 (-277963)
Mapk11	H3K4me3Heart_16974 (-19923), H3K4me3Heart_16972 (+2804)
Mapk12	H3K4me3Heart_16972 (-6035), H3K4me3Heart_16970 (+3291)
Mapk15	H3K4me3Heart_16707 (+4062)
Marc2	H3K4me3Heart_1119 (-7696)
March9	H3K4me3Heart_12282 (+10860)
Marco	H3K4me3Heart_611 (+147492)
Mark1	H3K4me3Heart_1122 (-194142)
Masp1	H3K4me3Heart_17464 (+21662)
Mast3	H3K4me3Heart_9518 (+9084)
Mast4	H3K4me3Heart_15568 (+239724)
Mat1a	H3K4me3Heart_15873 (-174)
Matn1	H3K4me3Heart_4791 (+308825)
Maz	H3K4me3Heart_8795 (-1236)
Mb	H3K4me3Heart_16760 (+1043), H3K4me3Heart_16759 (+9145), H3K4me3Heart_16758 (+23628)
Mbd6	H3K4me3Heart_12301 (-4184)
Mbip	H3K4me3Heart_14263 (-188944), H3K4me3Heart_14261 (-113495)
Mboat2	H3K4me3Heart_14109 (+132349)
Mboat4	H3K4me3Heart_9258 (+5515)
Mc4r	H3K4me3Heart_19288 (+349975)
Mcc	H3K4me3Heart_19140 (+313509)
Mcm9	H3K4me3Heart_11589 (-5216)
Mcrs1	H3K4me3Heart_17104 (+2339)
Mdfi	H3K4me3Heart_18511 (-29776)
Mdga1	H3K4me3Heart_18228 (-75222)
Mdh1	H3K4me3Heart_12517;H3K4me3Heart_12518 (+2425)
Med13l	H3K4me3Heart_6076 (-266419), H3K4me3Heart_6084 (-680), H3K4me3Heart_6085 (+105898)
Med4	H3K4me3Heart_16218 (-94475)
Mef2c	H3K4me3Heart_15432 (-560986), H3K4me3Heart_15437;H3K4me3Heart_15438 (+229845)
Mef2d	H3K4me3Heart_3278 (-8797), H3K4me3Heart_3281 (+7928)
Megf6	H3K4me3Heart_5188 (+76013)
Meioc	H3K4me3Heart_13640 (+712)
Meis1	H3K4me3Heart_12494 (+2389), H3K4me3Heart_12493 (+8255), H3K4me3Heart_12491 (+60978)
Meis2	H3K4me3Heart_2114 (+6305), H3K4me3Heart_2113 (+8008), H3K4me3Heart_2112 (+15143)
Meox1	H3K4me3Heart_13600 (+73251), H3K4me3Heart_13599 (+103177)
Mettl24	H3K4me3Heart_11500 (+54607)
Mettl8	H3K4me3Heart_1787 (+66004), H3K4me3Heart_1786 (+153997)
Mfng	H3K4me3Heart_16787 (+1945)
Mfrp	H3K4me3Heart_10417 (-32308)
Mfsd7c	H3K4me3Heart_14512 (+72240)
Mgat1	H3K4me3Heart_12685 (+1456)
Mgat4a	H3K4me3Heart_146 (-151183)
Mgat4b	H3K4me3Heart_12697 (+5883)
Mgat5	H3K4me3Heart_630 (-405659)
Mgmt	H3K4me3Heart_8903 (-886213), H3K4me3Heart_8905 (-398122), H3K4me3Heart_8907 (+415351)
Mgst2	H3K4me3Heart_3056 (-12828), H3K4me3Heart_3065 (+427504)
Mib1	H3K4me3Heart_18886 (+60937), H3K4me3Heart_18887 (+62001)
Mical3	H3K4me3Heart_7349 (-170353)
Micall2	H3K4me3Heart_6402 (+150843)
Mid1ip1	H3K4me3Heart_20196 (+370735)
Mier3	H3K4me3Heart_15624 (+102328)
Mis18a	H3K4me3Heart_17789 (+15020), H3K4me3Heart_17787 (+98134)
Misp	H3K4me3Heart_11834 (-13131)
Mitf	H3K4me3Heart_7194 (+123037)
Mki67	H3K4me3Heart_8905 (-780110), H3K4me3Heart_8903 (-292019), H3K4me3Heart_8899 (+111000)
Mkl2	H3K4me3Heart_17315 (+103006)
Mlip	H3K4me3Heart_10813 (-37817), H3K4me3Heart_10812 (-4741), H3K4me3Heart_10811 (+131), H3K4me3Heart_10810 (+1891), H3K4me3Heart_10809 (+2901)
Mllt1	H3K4me3Heart_18601 (+51620)
Mllt3	H3K4me3Heart_4344 (+663426)
Mlph	H3K4me3Heart_513 (-5267), H3K4me3Heart_514 (-100)
Mlxip	H3K4me3Heart_6176 (+76319)
Mlycd	H3K4me3Heart_10009 (+18152)
Mmadhc	H3K4me3Heart_1673 (-674637)
Mmd	H3K4me3Heart_13335 (+2996)
Mme	H3K4me3Heart_3127 (+313921)
Mmp15	H3K4me3Heart_9814 (+8961), H3K4me3Heart_9815 (+75427)
Mms22l	H3K4me3Heart_4020 (-513218), H3K4me3Heart_4022 (+296244)
Mob1b	H3K4me3Heart_5743 (-8746)
Mon2	H3K4me3Heart_12267 (+85702), H3K4me3Heart_12265 (+92471)
Morn3	H3K4me3Heart_6164 (-13337)
Mov10l1	H3K4me3Heart_16963 (+37880)
Mpnd	H3K4me3Heart_18559 (-3754)
Mpped2	H3K4me3Heart_2068 (-261687), H3K4me3Heart_2070 (-9843)
Mprip	H3K4me3Heart_12831 (+45802)
Mpzl1	H3K4me3Heart_912 (+16078)
Mr1	H3K4me3Heart_824 (+36744)
Mreg	H3K4me3Heart_340 (+29154)
Mrgprh	H3K4me3Heart_17950 (+4176)
Mroh3	H3K4me3Heart_746 (+47568)
Mroh9	H3K4me3Heart_890 (-223108)
Mrpl23	H3K4me3Heart_8999 (+77929)
Mrpl34	H3K4me3Heart_9537 (-1384)
Mrpl45	H3K4me3Heart_13449 (+23311)
Mrpl58	H3K4me3Heart_13807 (-9985)
Mrps18a	H3K4me3Heart_18456 (-26494)
Mrps23	H3K4me3Heart_13311 (-34432), H3K4me3Heart_13312 (-10686), H3K4me3Heart_13314 (+47891)
Msantd3	H3K4me3Heart_4201 (-48507)
Msgn1	H3K4me3Heart_14050 (-15884), H3K4me3Heart_14049 (+4629), H3K4me3Heart_14048 (+12723)
Msh6	H3K4me3Heart_18820 (-148677)
Msi2	H3K4me3Heart_13318 (-130998), H3K4me3Heart_13317 (-102895)
Msl1	H3K4me3Heart_13512 (-9278)
Msl2	H3K4me3Heart_10968;H3K4me3Heart_10969 (+120085), H3K4me3Heart_10970;H3K4me3Heart_10971 (+122274)
Msl3	H3K4me3Heart_20801 (-104964)
Msra	H3K4me3Heart_16123 (+145915)
Msrb2	H3K4me3Heart_1309 (+59350)
Msrb3	H3K4me3Heart_12234 (+2893), H3K4me3Heart_12232 (+21989), H3K4me3Heart_12231 (+26521), H3K4me3Heart_12230 (+138147), H3K4me3Heart_12226 (+204482)
Msx1	H3K4me3Heart_5520 (-147444)
Mtfr2	H3K4me3Heart_11390 (+310063)
Mtnr1a	H3K4me3Heart_9322 (-70226)
Mto1	H3K4me3Heart_10831 (+31499)
Mtr	H3K4me3Heart_14796 (-80192), H3K4me3Heart_14795 (-77041)
Mturn	H3K4me3Heart_6896 (+23817)
Mtus1	H3K4me3Heart_9310 (+39392)
Mtus2	H3K4me3Heart_6513 (+69763), H3K4me3Heart_6515 (+383298)
Mtx2	H3K4me3Heart_1851 (+261379)
Muc2	H3K4me3Heart_8985 (+3215)
Muc5ac	H3K4me3Heart_8985 (-95433)
Mx1	H3K4me3Heart_17870 (+103282)
Mxra7	H3K4me3Heart_13863 (+6422)
Myadm	H3K4me3Heart_7590 (-24077), H3K4me3Heart_7592 (+9529)
Mybpc3	H3K4me3Heart_1950 (+1118)
Mycbpap	H3K4me3Heart_13361 (-22843)
Mycn	H3K4me3Heart_14062 (+131533), H3K4me3Heart_14058 (+540344)
Myct1	H3K4me3Heart_11288 (-524868), H3K4me3Heart_11284 (+919)
Myh14	H3K4me3Heart_8123 (-5652)
Myh6	H3K4me3Heart_15992 (-17298), H3K4me3Heart_15991 (-13705), H3K4me3Heart_15990 (+740), H3K4me3Heart_15989 (+7196)
Myh7	H3K4me3Heart_15995 (-9760), H3K4me3Heart_15994 (-2752), H3K4me3Heart_15993 (+746), H3K4me3Heart_15992 (+10729), H3K4me3Heart_15991 (+14322)
Myh7b	H3K4me3Heart_2540 (+278)
Myl10	H3K4me3Heart_6334 (-73080), H3K4me3Heart_6336 (+21664), H3K4me3Heart_6337 (+109878)
Myl12a	H3K4me3Heart_18678 (+1946), H3K4me3Heart_18677 (+4078)
Myl12b	H3K4me3Heart_18678 (-9821), H3K4me3Heart_18677 (-7689)
Myl2	H3K4me3Heart_6137 (-41282), H3K4me3Heart_6138 (-7148), H3K4me3Heart_6139 (+1766)
Myl3	H3K4me3Heart_11135 (+791)
Myl4	H3K4me3Heart_13691 (+26925)
Myl7	H3K4me3Heart_12430 (+568)
Myl9	H3K4me3Heart_2566 (+2180)
Mylk2	H3K4me3Heart_2489 (+20552)
Mylk3	H3K4me3Heart_9707 (-13880), H3K4me3Heart_9706 (+512)
Myo10	H3K4me3Heart_16462 (-181083), H3K4me3Heart_16463 (-176617)
Myo16	H3K4me3Heart_9084 (+91378), H3K4me3Heart_9086 (+673890)
Myo18b	H3K4me3Heart_5959 (+95)
Myo1b	H3K4me3Heart_219 (+318559)
Myo1d	H3K4me3Heart_13204 (+271194)
Myo1h	H3K4me3Heart_5988 (+41998)
Myo3a	H3K4me3Heart_1323 (-317866)
Myo3b	H3K4me3Heart_1775 (-12482)
Myo5b	H3K4me3Heart_19347 (-147490)
Myo6	H3K4me3Heart_10847 (+167396)
Myo9b	H3K4me3Heart_9529 (-66985)
Myocd	H3K4me3Heart_12919;H3K4me3Heart_12920 (-95513)
Myof	H3K4me3Heart_19862 (+165618), H3K4me3Heart_19861 (+228977)
Myom1	H3K4me3Heart_18680 (+114), H3K4me3Heart_18681 (+1679), H3K4me3Heart_18682 (+3146)
Myoz1	H3K4me3Heart_15734 (-7848), H3K4me3Heart_15733 (+112)
Myoz2	H3K4me3Heart_3698 (-199554), H3K4me3Heart_3695 (+132)
Mypn	H3K4me3Heart_11682 (+119)
Myrf	H3K4me3Heart_19654 (+15457)
Myrfl	H3K4me3Heart_12180 (-48457), H3K4me3Heart_12179 (+168822)
N4bp1	H3K4me3Heart_9720 (-585299)
N4bp2	H3K4me3Heart_5622 (+143)
Naa11	H3K4me3Heart_5798 (+4659)
Naalad2	H3K4me3Heart_10192 (+11647)
Nab2	H3K4me3Heart_12314 (+4849)
Nabp1	H3K4me3Heart_219 (-118970), H3K4me3Heart_216 (+186210)
Nadk2	H3K4me3Heart_16426 (+4609)
Nags	H3K4me3Heart_13613 (-7088)
Nap1l3	H3K4me3Heart_20616 (+917673)
Nap1l5	H3K4me3Heart_6926;H3K4me3Heart_6927 (+43816)
Nars2	H3K4me3Heart_8495 (+34396)
Nat10	H3K4me3Heart_2036 (+157584), H3K4me3Heart_2035 (+192036)
Nat3	H3K4me3Heart_9442 (+424846)
Ncald	H3K4me3Heart_16543 (+58108)
Nck2	H3K4me3Heart_192;H3K4me3Heart_193;H3K4me3Heart_194 (-252954), H3K4me3Heart_195 (-249239)
Nckap5	H3K4me3Heart_630 (-306400)
Ncoa2	H3K4me3Heart_40 (+80557)
Ncoa3	H3K4me3Heart_2678 (+88302)
Ncoa7	H3K4me3Heart_11451;H3K4me3Heart_11452 (-36004)
Ncor2	H3K4me3Heart_6220 (-94629)
Ncs1	H3K4me3Heart_1500 (-35574)
Ndfip2	H3K4me3Heart_16320 (+307525), H3K4me3Heart_16321 (+330910)
Ndufa10	H3K4me3Heart_533 (+294190)
Ndufa5	H3K4me3Heart_6649 (-2510)
Ndufa9	H3K4me3Heart_7423 (+56905)
Ndufaf7	H3K4me3Heart_18725 (+81414)
Ndufb11	H3K4me3Heart_20250 (+559)
Ndufb7	H3K4me3Heart_9628 (+9556)
Ndufs4	H3K4me3Heart_15649 (+507420)
Ndufs6	H3K4me3Heart_15373 (+59853)
Neb	H3K4me3Heart_1682 (-84081), H3K4me3Heart_1681 (-28410)
Nebl	H3K4me3Heart_1278 (+2243), H3K4me3Heart_1277 (+3888), H3K4me3Heart_1276 (+5913)
Necab2	H3K4me3Heart_10011 (+44256)
Nectin3	H3K4me3Heart_17659 (+573)
Nedd4	H3K4me3Heart_10771 (+118033), H3K4me3Heart_10772 (+138417)
Nedd4l	H3K4me3Heart_19263 (-238613), H3K4me3Heart_19265 (+102639), H3K4me3Heart_19267 (+162795), H3K4me3Heart_19268 (+428048), H3K4me3Heart_19269 (+470445)
Neil2	H3K4me3Heart_16107 (-43474), H3K4me3Heart_16106 (-39095)
Nek11	H3K4me3Heart_11005 (-124625)
Nek6	H3K4me3Heart_1634 (-154640), H3K4me3Heart_1635 (-142766), H3K4me3Heart_1636 (-132337)
Nek7	H3K4me3Heart_762 (+10289)
Neurl1a	H3K4me3Heart_20026 (+50096), H3K4me3Heart_20030 (+141495)
Neurl3	H3K4me3Heart_126 (+3951)
Neurod2	H3K4me3Heart_13490 (-12933), H3K4me3Heart_13488 (+2201)
Nfam1	H3K4me3Heart_16896 (+112178)
Nfatc2	H3K4me3Heart_2725 (-122593), H3K4me3Heart_2724 (-104434)
Nfe2l3	H3K4me3Heart_6845 (-624779), H3K4me3Heart_6850 (-221188)
Nfic	H3K4me3Heart_11942 (+17489)
Nfil3	H3K4me3Heart_15180 (-1791)
Nfix	H3K4me3Heart_9675 (+30413)
Nfkb1	H3K4me3Heart_3791 (-39387), H3K4me3Heart_3789 (+169253)
Nfkbia	H3K4me3Heart_14254 (-11630)
Nfkbie	H3K4me3Heart_18441 (-10194)
Nfyb	H3K4me3Heart_11975 (-31144)
Ngdn	H3K4me3Heart_15995 (-11060)
Nhej1	H3K4me3Heart_396 (+30388)
Nhlrc3	H3K4me3Heart_3076 (+399591)
Nhsl2	H3K4me3Heart_20551 (+168904)
Nid1	H3K4me3Heart_14807 (+1084)
Nipa1	H3K4me3Heart_8245 (+33257)
Nipa2	H3K4me3Heart_8245 (-24247)
Nipsnap2	H3K4me3Heart_6251 (+4633)
Nkd1	H3K4me3Heart_9734 (-111578)
Nkx1-1	H3K4me3Heart_5457 (-101183), H3K4me3Heart_5454 (+2739)
Nkx2-1	H3K4me3Heart_14263 (+2070), H3K4me3Heart_14261 (+77519)
Nkx2-3	H3K4me3Heart_19922 (+4032)
Nkx2-5	H3K4me3Heart_18144 (-51406), H3K4me3Heart_18142 (-9559), H3K4me3Heart_18141 (-6834), H3K4me3Heart_18140 (-5112), H3K4me3Heart_18139 (+267)
Nkx6-1	H3K4me3Heart_5834 (+126032)
Nkx6-3	H3K4me3Heart_9169 (-21004)
Nle1	H3K4me3Heart_13219 (-3233)
Nlrp10	H3K4me3Heart_8618 (+256)
Nlrp12	H3K4me3Heart_7590 (-15221)
Nme7	H3K4me3Heart_900 (+6877)
Nmi	H3K4me3Heart_1678 (-43611)
Nmrk2	H3K4me3Heart_11923 (+7172)
Nnmt	H3K4me3Heart_10488 (-13588)
Noct	H3K4me3Heart_3043 (-28575)
Nol11	H3K4me3Heart_13728 (-12642)
Nomo1	H3K4me3Heart_8208 (+64472)
Nop53	H3K4me3Heart_7707 (-18264)
Nos1	H3K4me3Heart_6065 (-294969)
Notch2	H3K4me3Heart_3506 (+29393)
Notch3	H3K4me3Heart_18253 (+23348)
Npas1	H3K4me3Heart_7725 (+2084)
Npas3	H3K4me3Heart_14231 (-458211), H3K4me3Heart_14232 (-393731), H3K4me3Heart_14233 (-215232)
Nphs2	H3K4me3Heart_841 (+306)
Npl	H3K4me3Heart_809 (+17188)
Nppa	H3K4me3Heart_5074 (+491)
Nppb	H3K4me3Heart_5073 (+673)
Npr3	H3K4me3Heart_16437 (+163527)
Npvf	H3K4me3Heart_6850 (-557043), H3K4me3Heart_6845 (-153452)
Nr0b2	H3K4me3Heart_4849 (+193)
Nr1d1	H3K4me3Heart_13512 (-10905)
Nr2f2	H3K4me3Heart_8324 (-357925), H3K4me3Heart_8312 (+849908)
Nr4a1	H3K4me3Heart_17154 (-35058), H3K4me3Heart_17155 (-27767), H3K4me3Heart_17156 (-25767)
Nrap	H3K4me3Heart_20088 (+120)
Nrbf2	H3K4me3Heart_11702 (-35128)
Nrcam	H3K4me3Heart_14206 (+738597)
Nrd1	H3K4me3Heart_4482 (+146936)
Nrf1	H3K4me3Heart_6689 (-128911), H3K4me3Heart_6693 (+128251)
Nrxn2	H3K4me3Heart_19577 (+74704)
Nrxn3	H3K4me3Heart_14548 (-72176)
Nsmce2	H3K4me3Heart_16638 (+241411), H3K4me3Heart_16640 (+259587)
Nsun7	H3K4me3Heart_5628 (+63735)
Nt5c1b	H3K4me3Heart_14044 (-789291)
Nt5dc3	H3K4me3Heart_12016 (+193262)
Ntm	H3K4me3Heart_10303 (+368013)
Ntn4	H3K4me3Heart_12068 (+66291)
Ntrk2	H3K4me3Heart_15267 (+266229)
Nuak1	H3K4me3Heart_11985 (+52348)
Nudt6	H3K4me3Heart_3005 (+371)
Nufip1	H3K4me3Heart_16240 (+39065)
Nup153	H3K4me3Heart_15114 (-199301)
Nup210	H3K4me3Heart_7139 (+353042)
Nutm2	H3K4me3Heart_15157 (+491068)
Nxnl2	H3K4me3Heart_15159 (-15318), H3K4me3Heart_15161 (+3782)
Nyx	H3K4me3Heart_20234 (+3723)
Oaf	H3K4me3Heart_10411 (-31079)
Obscn	H3K4me3Heart_12818 (-2777), H3K4me3Heart_12816 (+133085), H3K4me3Heart_12815 (+137227)
Odf3l1	H3K4me3Heart_10570 (+139219)
Ogfrl1	H3K4me3Heart_78 (+111456)
Ola1	H3K4me3Heart_1814 (+210293)
Olfr1321	H3K4me3Heart_20334 (-59329)
Olfr1324	H3K4me3Heart_20338 (-153958)
Olfr1368	H3K4me3Heart_14834 (-16606)
Olfr1393	H3K4me3Heart_12685 (-34448)
Olfr1402	H3K4me3Heart_3488 (+176078)
Olfr1418	H3K4me3Heart_19677 (-12833)
Olfr1419	H3K4me3Heart_19677 (+2471)
Olfr1505	H3K4me3Heart_19688 (+676785)
Olfr412	H3K4me3Heart_13073 (+162210)
Opa1	H3K4me3Heart_17488 (-18629)
Optn	H3K4me3Heart_1222 (-16571)
Orc5	H3K4me3Heart_5315 (-701444)
Os9	H3K4me3Heart_12288 (+39400)
Osbp	H3K4me3Heart_19679 (-737)
Osbpl10	H3K4me3Heart_11175 (+29530)
Osbpl1a	H3K4me3Heart_18904 (+81857)
Osbpl6	H3K4me3Heart_1869 (+133531)
Osbpl9	H3K4me3Heart_4482 (+54681)
Osgin1	H3K4me3Heart_10009 (-24088)
Osmr	H3K4me3Heart_16405 (+13013)
Osr1	H3K4me3Heart_14044 (+6311)
Ost4	H3K4me3Heart_5408 (+1417)
Otog	H3K4me3Heart_8210 (-2997)
Otp	H3K4me3Heart_15487 (-68914)
Otub1	H3K4me3Heart_19601 (+23653)
Otud1	H3K4me3Heart_1313 (+826)
Otud7b	H3K4me3Heart_3437 (-10200)
Otx1	H3K4me3Heart_12524 (-169671), H3K4me3Heart_12523 (-6705), H3K4me3Heart_12522 (-3173)
Otx2	H3K4me3Heart_15916 (-323509), H3K4me3Heart_15912 (+2543)
Oxgr1	H3K4me3Heart_16358 (+781491)
Oxr1	H3K4me3Heart_16566 (-781277), H3K4me3Heart_16571 (+304267), H3K4me3Heart_16573 (+372522)
P2ry2	H3K4me3Heart_8562 (-49725)
P4ha2	H3K4me3Heart_12766 (+1658)
Pa2g4	H3K4me3Heart_12348 (-17746)
Pabpc1	H3K4me3Heart_16530 (-480)
Pabpc6	H3K4me3Heart_17933 (-643349), H3K4me3Heart_17932 (-639673)
Pafah1b1	H3K4me3Heart_13079 (+2532)
Pag1	H3K4me3Heart_2880 (+81275)
Paics	H3K4me3Heart_5715 (-22691)
Palld	H3K4me3Heart_9422 (-142520), H3K4me3Heart_9421 (-141418), H3K4me3Heart_9420 (-137615)
Palm	H3K4me3Heart_11834 (+14318)
Palm2	H3K4me3Heart_4240 (-259321), H3K4me3Heart_4242 (-7045), H3K4me3Heart_4245 (+72262)
Pan3	H3K4me3Heart_6500 (+190322), H3K4me3Heart_6501 (+193760), H3K4me3Heart_6502 (+227866)
Pank1	H3K4me3Heart_19830 (+23112)
Panx2	H3K4me3Heart_16963 (-38958)
Papd7	H3K4me3Heart_15358 (+140)
Pappa2	H3K4me3Heart_863 (+403535)
Paqr3	H3K4me3Heart_5798 (-276075)
Pard3b	H3K4me3Heart_297 (-394561)
Pard6b	H3K4me3Heart_2711 (+1973), H3K4me3Heart_2712 (+25906)
Park2	H3K4me3Heart_17941 (+905573)
Parm1	H3K4me3Heart_5763 (+442994)
Parn	H3K4me3Heart_17315 (+308683)
Parp16	H3K4me3Heart_10689 (-36342)
Parp8	H3K4me3Heart_15660 (+317637)
Parva	H3K4me3Heart_8657 (+235805)
Pax2	H3K4me3Heart_19947 (-85911), H3K4me3Heart_19948 (-73174), H3K4me3Heart_19952 (-15581)
Pax6	H3K4me3Heart_2064 (+19418)
Pcbd1	H3K4me3Heart_11639 (-250502), H3K4me3Heart_11640 (-20034)
Pcbp1	H3K4me3Heart_7080 (+10036), H3K4me3Heart_7078 (+38514)
Pcdh1	H3K4me3Heart_19099 (+113457)
Pcdh10	H3K4me3Heart_3036 (-253)
Pcdh15	H3K4me3Heart_11743 (+4797)
Pcdh18	H3K4me3Heart_3039 (-108987)
Pcdh7	H3K4me3Heart_5592 (+5085)
Pcdhb1	H3K4me3Heart_19063 (+51)
Pcf11	H3K4me3Heart_8484 (-37277)
Pcgf5	H3K4me3Heart_19837 (-280241)
Pck1	H3K4me3Heart_2769 (+18525)
Pcnx	H3K4me3Heart_14450 (-14931), H3K4me3Heart_14452 (+262459)
Pdcd4	H3K4me3Heart_20067 (-212790), H3K4me3Heart_20068 (-210441), H3K4me3Heart_20069 (-193836), H3K4me3Heart_20071 (-98771)
Pdcd5	H3K4me3Heart_8050 (-39691)
Pde12	H3K4me3Heart_15779 (-826)
Pde4d	H3K4me3Heart_15612 (+194718)
Pde4dip	H3K4me3Heart_3496 (+204604)
Pde7b	H3K4me3Heart_11390 (+67196)
Pdgfb	H3K4me3Heart_16839 (+104)
Pdgfc	H3K4me3Heart_3206 (+799218)
Pdgfra	H3K4me3Heart_5694 (-3463)
